time,cam_x,cam_y,cam_z,obj_x,obj_y,obj_z,cam_i,cam_j,cam_k,cam_w,obj_i,obj_j,obj_k,obj_w
0.05,61.01712596838457,25.265249164800462,134.27249270735518,-172.1205721260303,855.429355738081,139.60893113184713,0.012545516617394236,-0.03221308893435782,0.6801899346784227,0.7322203081561403,-0.00043930503782675667,0.0033391054017594016,-0.7957837557421964,0.6055715246633087
0.05,61.013097182960266,25.27878786495154,134.2902076025782,-171.88118116362284,855.6135180378117,139.49724656415336,0.012048894296211813,-0.03172910806567561,0.6800508893086714,0.7323789154516127,-0.011210123431988784,0.006474997680597234,-0.7858372998165887,0.618297780810063
0.05,60.97903737996133,25.313893110921274,134.27233970053572,-171.89402008119743,855.5998656598306,139.51766654272237,0.011702224467746433,-0.031247757782946747,0.6798351865163267,0.7326054564022548,-0.010620448958296499,0.0060677234406713776,-0.7854028556070694,0.6188640748988689
0.05,60.94961030651762,25.265998723541642,134.31969120350539,-172.20365901622645,855.2365097899651,139.68261488905182,0.011939558466438963,-0.032247831293349585,0.6800039859234626,0.7324015998403509,0.0005175950193287206,0.0042573983352266805,-0.7921902836426269,0.6102590934652475
0.05,60.97374899648596,25.278771220593548,134.26686005630776,-172.1101560056353,855.5511082558285,139.39342699435056,0.011756782354855968,-0.03134883129653416,0.6799362505602613,0.7325064668786588,-0.009087131192387656,0.005162220290022333,-0.7853712206053316,0.6189368476454292
0.05,61.02627700195991,25.28273979276681,134.26052833505858,-171.87206298725897,855.6139391517644,139.50787912748888,0.011820257764447168,-0.032008028247612605,0.6801031592451364,0.7323219649982287,-0.01092450172465599,0.00618114361864469,-0.7848801934229565,0.6195204037785811
0.05,61.02782609953948,25.271496445211064,134.25057665368135,-171.835889511289,855.6781072711409,139.47489530423582,0.012202577560174031,-0.03246410564942329,0.6801882123152071,0.7322166173836223,-0.011357590441258072,0.0061897249499644905,-0.7851938431130426,0.6191149498936227
0.05,61.01694587448427,25.249383404391047,134.308352555238,-171.84687360941254,855.7061740821657,139.37732138189995,0.012653463571212038,-0.03257219583585228,0.6800093097500937,0.7323703165552821,-0.009490251501113336,0.004868404198152521,-0.785022041084028,0.6193759995182859
0.05,61.033682400127056,25.284425540448286,134.27230204866768,-169.53553269575733,855.6404739715134,139.38694994504726,0.012204515429242837,-0.03221670282019957,0.6801003702211701,0.732309101600929,-0.011813139506564905,0.003141624745578137,-0.7917324027672582,0.6107457591644339
0.05,60.9864093930056,25.31622080231236,134.23000232650986,-166.64958261254628,855.6577520560203,139.45427419699186,0.011734057426756239,-0.03141284532051231,0.6802125445821254,0.7322475259352436,-0.011376821916635714,0.007045019011558079,-0.7837842689792722,0.6208890040344021
0.05,61.000946764627045,25.291973556898835,134.2313168782968,-163.8237956802659,855.710739188768,139.37329615203637,0.011875694388082133,-0.03146609050052277,0.6799912925613348,0.7324484248547327,-0.011880581082807417,0.004187771135991211,-0.785912258413316,0.6182097026428237
0.05,61.02577968631605,25.326373208557925,134.19693819443688,-161.23001365485896,855.7071847918216,139.26201596517728,0.012023387393175421,-0.03195846616795688,0.6801929139032137,0.7322374577086593,-0.008639499539899552,0.0025753280568399117,-0.7905116439131417,0.612380655777795
0.05,61.09211486195017,25.28255489820172,134.2659133634118,-157.41479062647335,855.7561699595572,139.37203171358163,0.012311002618090733,-0.0323543445651456,0.6802352938674993,0.7321759218789528,-0.011127599000797468,0.003667674480793551,-0.791574234042542,0.610960683435803
0.05,61.14333010274426,25.238827933848473,134.32541801771862,-154.603739552278,855.7817581039354,139.3562023569233,0.012160531555926066,-0.03212058506872028,0.6802244921889283,0.7321987638021762,-0.011175710149789091,0.003997575274541537,-0.7897718139118566,0.6132859079132246
0.05,61.17913802168413,25.205476761586663,134.36353049485137,-150.69019991170487,855.8469381489317,139.23049618273032,0.012187348216513825,-0.03201697436176672,0.6802959240427229,0.7321364883865749,-0.00861960654100048,0.0013490661449187095,-0.7923464527662638,0.610009000910916
0.05,61.66572958732558,25.247227852584516,134.29882628913438,-147.2636745031602,855.6115490571857,139.46843626587852,0.009202283237054807,-0.022882423345846472,0.6786357917965572,0.7340607432479321,-0.01763764348375095,-0.0025013152443533896,-0.7817829335965185,0.6232961588936756
0.05,62.74394009467489,25.122939524191317,134.54315064926544,-143.5989739281457,855.9186074742815,139.35411525294774,0.016506065093523623,-0.02811078134762562,0.6872447626953724,0.7256941297371337,-0.011766275428758723,0.004454717827232603,-0.788795155031096,0.6145273904807527
0.05,65.89666268719883,25.399128937754313,134.39831018732906,-139.74021629562625,856.0305238262727,139.61112493324595,0.008833790340711722,-0.022654427303468196,0.6850426943018221,0.7280970045642741,-0.00804905282295756,0.0015287472565411388,-0.8029181858223698,0.5960329374759361
0.05,69.25692246520462,25.451118451561765,134.35436532108886,-137.26601810712225,856.035752516348,139.2555838476202,0.009249000484029204,-0.02347160402275356,0.6853217121770002,0.7278033323731283,-0.0094677064672621,0.003694372686779743,-0.787222711995279,0.6165850434964336
0.05,72.57859968461771,25.4657615435103,134.32991276367653,-133.6169340083277,856.0603357505712,139.39056316329643,0.008887116004748072,-0.022611186171278698,0.685349232848649,0.7278091662398972,-0.011770580237325922,0.0042305445757236096,-0.7887445603202379,0.6145938288810785
0.05,75.69247463434283,25.26336961829317,134.52904133977572,-129.56292294869303,855.8330518768975,139.5301591685329,0.01280780994176389,-0.023863600751609884,0.6857103199049722,0.7273705010099627,-0.017603758299177985,-0.0011081850304701382,-0.7793948165617606,0.6262847591442268
0.05,79.3905155766293,25.493551200004422,134.25510344781213,-124.8850971183879,856.0582689506607,139.46208714558816,0.007958914071329674,-0.021372806007193306,0.6847884356085209,0.7283849650473428,-0.00978697475982204,0.001914200598378217,-0.7995973519751554,0.6004536832058235
0.05,83.16391480202715,25.507493946774222,134.23081653473744,-119.75287396213196,856.186859411052,139.2934682361757,0.00879871591274881,-0.022063479171548772,0.6849675094746392,0.7281863061396057,-0.011065963000925893,0.004119603410440963,-0.7901402100412713,0.6128123871190421
0.05,87.12072638395966,25.467809373822227,134.25098867339423,-112.59264182378153,856.014296520627,139.43396441254964,0.009045965285905934,-0.022725753317029068,0.6853739499692909,0.7277803647747799,-0.01763779927373565,-0.0026503191654910383,-0.7842027050995272,0.6202483382965929
0.05,90.71172419004407,25.263555035825764,134.45842748256868,-104.33932160914978,856.3351059747257,139.390811799725,0.014400999615820932,-0.025330014982086473,0.6873868523771322,0.7257067704866279,-0.01077011274246593,0.00507631883128176,-0.7907348084899761,0.6120430526531272
0.05,94.79693512559395,25.23867204179902,134.50767935617623,-95.81479862323557,856.1303699545158,139.39901694383713,0.014121956402782826,-0.025201556914096472,0.687122447375967,0.7259670751408256,-0.016630332539340577,-0.004111131821517022,-0.7843052027614204,0.6201385970540332
0.05,99.91480370162182,25.523689349346828,134.22722378511074,-85.8410211988567,856.2500436101467,139.34691419423768,0.008689346559949549,-0.022889017333831623,0.6850258947029253,0.7281072116991489,-0.007767799849481182,0.005211050370144469,-0.7832127133780669,0.6216834820409051
0.05,103.69309284847817,25.471289681572475,134.17481812344815,-76.85373281372546,856.5686552689656,139.10088902519112,0.0078531889650604,-0.02159310537804594,0.6850864100081056,0.7280993586354939,-0.009176967673218062,0.002545204008648796,-0.7885323635435784,0.6149195206246563
